name,slug,draft_year,draft_pick,season,team_id,lg_id,pos
Fred Cofield,cofiefr01,1985,73,1985-86,NYK,NBA,PG
Alex Stivrins,stivral01,1985,75,1985-86,SEA,NBA,SF
Arvydas Sabonis,sabonar01,1985,77,1995-96,POR,NBA,C
Mark Davis,davisma01,1985,79,1988-89,TOT,NBA,SF
Scott Roth,rothsc01,1985,82,1987-88,UTA,NBA,SF
Delaney Rudd,ruddde01,1985,83,1989-90,UTA,NBA,PG
John Battle,battljo01,1985,84,1985-86,ATL,NBA,SG
Spud Webb,webbsp01,1985,87,1985-86,ATL,NBA,PG
Pete Williams,willipe01,1985,89,1985-86,DEN,NBA,PF
Derrick Gervin,gervide01,1985,90,1989-90,NJN,NBA,PF
Cozell McQueen,mcqueco01,1985,91,1986-87,DET,NBA,PF
Dexter Shouse,shousde01,1985,92,1989-90,PHI,NBA,PG
Ralph Lewis,lewisra01,1985,139,1987-88,DET,NBA,SG
Michael Phelps,phelpmi01,1985,144,1985-86,SEA,NBA,SG
Georgi Glouchkov,gloucge01,1985,148,1985-86,PHO,NBA,PF
Mario Elie,eliema01,1985,160,1990-91,TOT,NBA,SF-SG
Brad Daugherty,daughbr01,1986,1,1986-87,CLE,NBA,C
Chris Washburn,washbch01,1986,3,1986-87,GSW,NBA,C
Chuck Person,persoch01,1986,4,1986-87,IND,NBA,SF
Kenny Walker,walkeke01,1986,5,1986-87,NYK,NBA,SF
William Bedford,bedfowi01,1986,6,1986-87,PHO,NBA,C
Roy Tarpley,tarplro01,1986,7,1986-87,DAL,NBA,PF
Ron Harper,harpero01,1986,8,1986-87,CLE,NBA,SG
Brad Sellers,sellebr01,1986,9,1986-87,CHI,NBA,PF
Johnny Dawkins,dawkijo01,1986,10,1986-87,SAS,NBA,PG
John Salley,sallejo01,1986,11,1986-87,DET,NBA,C
John Williams,willijo02,1986,12,1986-87,WSB,NBA,SF
Pearl Washington,washipe01,1986,13,1986-87,NJN,NBA,PG
Walter Berry,berrywa01,1986,14,1986-87,TOT,NBA,SF-PF
Dell Curry,curryde01,1986,15,1986-87,UTA,NBA,SG
Maurice Martin,martima01,1986,16,1986-87,DEN,NBA,SF
Harold Pressley,pressha01,1986,17,1986-87,SAC,NBA,SF
Mark Alarie,alarima01,1986,18,1986-87,DEN,NBA,PF
Billy Thompson,thompbi01,1986,19,1986-87,LAL,NBA,SF
Buck Johnson,johnsbu01,1986,20,1986-87,HOU,NBA,SF
Anthony Jones,jonesan01,1986,21,1986-87,TOT,NBA,SF-SG
Scott Skiles,skilesc01,1986,22,1986-87,MIL,NBA,PG
Mark Price,pricema01,1986,25,1986-87,CLE,NBA,PG
Greg Dreiling,dreilgr01,1986,26,1986-87,IND,NBA,C
Dennis Rodman,rodmade01,1986,27,1986-87,DET,NBA,SF
Larry Krystkowiak,krystla01,1986,28,1986-87,SAS,NBA,PF
Johnny Newman,newmajo01,1986,29,1986-87,CLE,NBA,SF
Nate McMillan,mcmilna01,1986,30,1986-87,SEA,NBA,PG
Cedric Henderson,hendece01,1986,32,1986-87,TOT,NBA,PF
Kevin Duckworth,duckwke01,1986,33,1986-87,TOT,NBA,C
Johnny Rogers,rogerjo01,1986,34,1986-87,SAC,NBA,PF
Milt Wagner,wagnemi01,1986,35,1987-88,LAL,NBA,SG
Rafael Addison,addisra01,1986,39,1986-87,PHO,NBA,SF
Otis Smith,smithot01,1986,41,1986-87,DEN,NBA,SG
Dave Feitl,feitlda01,1986,43,1986-87,HOU,NBA,C
David Wingate,wingada01,1986,44,1986-87,PHI,NBA,SG
Keith Smith,smithke03,1986,45,1986-87,MIL,NBA,SG
Jeff Hornacek,hornaje01,1986,46,1986-87,PHO,NBA,SG
Michael Jackson,jacksmi02,1986,47,1987-88,SAC,NBA,PG
Forrest McKenzie,mckenfo01,1986,48,1986-87,SAS,NBA,SF
